Image,Polarization angle (°),MSE,SSIM,PNSR
ball,0,30.382929801940918,0.9690934426449384,33.30450710647729
ball,45,29.980267842610676,0.9667444273878032,33.362448523673834
ball,90,22.00086720784505,0.9660784189010413,34.70640561129387
ball,135,21.590251286824543,0.9683114745159237,34.78822663793236
bee_mouth,0,8.892763756978486,0.9768852528475335,38.64043605761673
bee_mouth,45,8.362719832941858,0.9759148058752426,38.907328135325415
bee_mouth,90,8.802777458639707,0.9784708455470309,38.684606381899165
bee_mouth,135,8.594451571861384,0.9793919273791315,38.78862192109353
bottles,0,20.732925415039062,0.978151218605377,34.96419775514456
bottles,45,21.82783540089925,0.9773889188431429,34.740696906675
bottles,90,21.03674252827962,0.9770153408800052,34.901018692796725
bottles,135,19.80400498708089,0.9780809613582084,35.16327333843616
cebolla,0,26.38328189891408,0.9597479234506926,33.917515430489416
cebolla,45,23.60535226460376,0.9588351134761144,34.40069875040181
cebolla,90,25.49915455005787,0.95882130733556,34.06554579662643
cebolla,135,21.145674828090957,0.9643271714888003,34.87858811397306
cellphonecases,0,13.176681836446127,0.9768178162343998,36.93274301258689
cellphonecases,45,3.1725686391194663,0.9864000586077625,43.1166933395669
cellphonecases,90,2.4960142771402993,0.9876116219221349,44.1583329569666
cellphonecases,135,10.89579963684082,0.9791807199676349,37.75821252478943
containers,0,10.11713727315267,0.9615296364629287,38.0802271816182
containers,45,2.17059326171875,0.9911716801706528,44.765019103938656
containers,90,1.696615219116211,0.9916214498819539,45.834970024410104
containers,135,6.959261258443196,0.9823002733952109,39.705172201667686
dinosaur,0,22.50687821706136,0.9835293064129168,34.60765099857832
dinosaur,45,22.96643575032552,0.9817310283574979,34.5198676027778
dinosaur,90,19.389879544576008,0.9811457016344441,35.25505249741162
dinosaur,135,18.046711603800457,0.983156024077946,35.566822827387
door,0,16.305278460184734,0.9560910095052622,36.00752140817685
door,45,19.816670099894207,0.9514939887661892,35.160496813915685
door,90,19.148207664489746,0.9528052462319194,35.30952232059413
door,135,15.1870485941569,0.9580355280917182,36.31606978302822
fruit,0,31.723068873087566,0.9665131558877954,33.11705166769047
fruit,45,32.35246276855469,0.9650835101128937,33.03173014778705
fruit,90,20.276251792907715,0.9659864233200856,35.060926851625005
fruit,135,19.63699181874593,0.9675387566345702,35.20005401682778
kettle,0,11.178465207417807,0.987160801158883,37.646981814414495
kettle,45,11.527688980102539,0.9867233310338044,37.51338110276358
kettle,90,11.945493380228678,0.9866232602307708,37.35876268909621
kettle,135,11.274368286132812,0.9871613451557671,37.60988143580224
mirrorcard,0,29.845143000284832,0.9810350543767282,33.38206696752771
mirrorcard,45,30.310378392537434,0.9796413824077371,33.31489002766035
mirrorcard,90,16.396161715189617,0.9806873610620599,35.9833816775991
mirrorcard,135,14.768722852071127,0.9825563803796545,36.437374202126875
monitors,0,4.343539237976074,0.9876281358778943,41.75236611740553
monitors,45,5.754423459370931,0.9870875677831652,40.53078543059649
monitors,90,5.490573247273763,0.9871164726615484,40.73462671220918
monitors,135,4.558263778686523,0.9876356126923124,41.54280907440554
papel_optico,0,50.3705504174326,0.9261631554523118,31.109036642895784
papel_optico,45,49.02162452980324,0.924917776172252,31.22692661609156
papel_optico,90,48.621909413722086,0.9269845930734778,31.262483510014736
papel_optico,135,44.02046366506672,0.932366490249049,31.694257482271503
pino_leaf,0,46.04735131357231,0.9437347098314363,31.498757066386833
pino_leaf,45,42.81231064474401,0.9467150988862002,31.815116928751973
pino_leaf,90,45.733841507523145,0.9441890436333568,31.528426785021097
pino_leaf,135,37.669594492527914,0.9516744298752324,32.37089415753716
plant,0,26.48210048675537,0.9802115034202322,33.90127931700383
plant,45,25.54201380411784,0.97945148885174,34.05825225593694
plant,90,23.575137456258137,0.9795824110446781,34.40626127271042
plant,135,25.411092440287273,0.9804847342316979,34.080570247986444
plate,0,21.599356015523274,0.9448939361235761,34.7863955800744
plate,45,6.603713035583496,0.9641699577795505,39.93292168138206
plate,90,5.731550534566243,0.9611476796300575,40.548082349715024
plate,135,19.42207431793213,0.9444649449653686,35.24784749264884
screen,0,14.929968198140463,0.9842121049967271,36.390214782190284
screen,45,13.543711026509603,0.9842575973778004,36.81342681931469
screen,90,10.167937596638998,0.9843715478556474,38.058474886955324
screen,135,11.684449513753256,0.9841975853721218,37.45472104453822
tejido_denso,0,21.83063768041939,0.956956442511327,34.74013939082612
tejido_denso,45,15.99115269480188,0.9580243795105193,36.09200590620827
tejido_denso,90,15.364448497497957,0.9599033571644987,36.26563384872454
tejido_denso,135,20.09370239523761,0.9620935960496088,35.10020395166119
